file,energy_0,homogenity_0,entropy_0,contras_0,correlation_0,energy_45,homogenity_45,entropy_45,contras_45,correlation_45,energy_90,homogenity_90,entropy_90,contras_90,correlation_90,energy_135,homogenity_135,entropy_135,contras_135,correlation_135
Data Latih\Keluak (1).jpg,13.609331890537488,666.1885457677125,7.471594485052093,665.1885457677153,0.9589170436955555,12.772522805878234,1193.601153202312,7.686027633877462,1192.601153202305,0.9264328012499017,13.552093182309932,1084.870017224409,7.625064508870622,1083.8700172244153,0.9331652542337721,12.652337604754353,1201.4640089280217,7.702786296197677,1200.4640089280222,0.9260781062016281
Data Latih\Keluak (10).jpg,0.12305440553456394,193.35568405511708,8.253577961219086,192.3556840551169,0.9832945980203469,0.08843811431735651,397.0355260710509,8.5666072459568,396.03552607105246,0.9654259004339409,0.0923399096552988,313.87389271653376,8.506096300564385,312.87389271653535,0.9728783745306084,0.08945967870165687,333.3183706367401,8.529648975090467,332.3183706367435,0.9709727667538116
Data Latih\Keluak (100).jpg,0.07024102427066369,362.4133243110259,8.764427160341942,361.41332431102927,0.9722507007837733,0.05498341209279954,681.2102424204796,9.002082059057253,680.210242420485,0.9473598078031834,0.05899971760834573,686.593319389755,8.968529885481503,685.5933193897596,0.9474981085263646,0.05363923679612074,787.3635687271368,9.032346643957423,786.3635687271441,0.9391157244320781
Data Latih\Keluak (101).jpg,0.08324327220024855,248.59338090551114,8.558747513131651,247.59338090551356,0.9777912296257499,0.06188418849600381,481.6370512741038,8.842498168879857,480.63705127410475,0.9565880536000011,0.06718922483209067,446.66141732283165,8.78732234413083,445.66141732283563,0.9601523688574067,0.06299456116747915,486.0370760741515,8.829115541339851,485.0370760741541,0.9561673464916581
Data Latih\Keluak (102).jpg,0.10372002787436783,288.714259350392,8.43639673142232,287.71425935039304,0.9733799729571422,0.08467179225848946,476.785355570711,8.626985884395904,475.7853555707123,0.9557455012224265,0.08882103176772085,489.93091781495764,8.62003450319597,488.9309178149603,0.9548573214468508,0.07961679671849861,591.9700539401055,8.700212682491513,590.9700539401134,0.9449715161412664
Data Latih\Keluak (103).jpg,0.15139435796252662,142.1351500984241,7.8935124219483335,141.13515009842502,0.9837598625654418,0.1134937851755112,323.01488002975833,8.228090936722879,322.0148800297592,0.9625885936816321,0.11952279763593093,265.6798105314965,8.172470685510211,264.6798105314973,0.969527448232894,0.10791880967545557,309.18296236592556,8.255166456957928,308.18296236592437,0.9641727202187166
Data Latih\Keluak (104).jpg,0.10507916035484803,192.78143454724378,8.265857628862335,191.7814345472454,0.9821257660410794,0.08489434921780735,303.32314464629053,8.449908162524036,302.3231446462899,0.9715803317552528,0.09178962449826046,241.63656496063004,8.37559933987947,240.63656496063166,0.9776378617252486,0.08468335121372329,286.9222518445053,8.458073844726258,285.92225184450365,0.9730803588119878
Data Latih\Keluak (105).jpg,0.12749636400050304,138.28813976377842,7.958554994381585,137.2881397637801,0.9861650483225675,0.10920870747497173,228.1168082336154,8.123534502976584,227.11680823361536,0.976953103668389,0.11889674170045143,172.15415846456702,8.053506000646788,171.15415846456784,0.9827727083987744,0.11069887847553117,202.87196974393873,8.106524514009344,201.8719697439389,0.9794978735353417
Data Latih\Keluak (106).jpg,0.0888839968608186,198.91738435039434,8.224672953316503,197.91738435039562,0.9790886791692724,0.07095484623190784,351.5994171988355,8.44162557212237,350.5994171988344,0.9625530507502058,0.0740198720400061,278.68005659448795,8.39900811354496,277.6800565944896,0.9707286198410469,0.07442892125610183,309.46072292144777,8.397864164598436,308.460722921443,0.9670360709768799
Data Latih\Keluak (107).jpg,0.09788383102280175,224.3877952755901,8.222585556696732,223.3877952755917,0.9749518268864034,0.08195922052544392,318.3653047306094,8.364288439838269,317.3653047306093,0.9640834895831087,0.08184920032076383,278.80450295275466,8.388755258238849,277.80450295275637,0.9690646227048246,0.07459439458624996,356.58652117304314,8.479227806803351,355.5865211730417,0.9596966079605206
Data Latih\Keluak (108).jpg,0.07847895395561495,228.5409079724395,8.431586515937893,227.54090797244055,0.9784318446667879,0.06726636740542431,370.5173910347843,8.589344665066104,369.51739103478343,0.9647806994174686,0.07001363245884591,342.0551796259835,8.55353485026549,341.05517962598555,0.9677545829145887,0.06531970035822626,374.16107632215136,8.61039086622653,373.1610763221536,0.9643872300713188
Data Latih\Keluak (109).jpg,0.11487369654503483,264.5257135826774,8.463864736417952,263.52571358267875,0.9795465464644786,0.09131403556287358,489.2628805257627,8.68154584945683,488.2628805257642,0.9618314440447431,0.10008466135042951,467.794475885827,8.639855944205099,466.79447588583025,0.963813827298542,0.09594034458621177,507.3193626387217,8.673140425597031,506.31936263872365,0.9603459974210786
Data Latih\Keluak (11).jpg,0.07328513424086237,537.7685777558968,8.817419464314968,536.7685777558986,0.9499694715095495,0.0630921453421934,887.0151900303755,9.003830773156674,886.0151900303774,0.9172254224688194,0.06447574876309106,856.4591535433048,8.975028958747036,855.4591535433088,0.9204263344741738,0.06208106743188062,896.8572137144272,9.012988684874703,895.8572137144296,0.9163045315979831
Data Latih\Keluak (110).jpg,0.09531068207740011,155.1431471456695,8.222163637146208,154.14314714566981,0.9843275800870303,0.06840241233402246,319.10478020956145,8.554868627914743,318.1047802095605,0.9674298505701439,0.07417738883409128,274.4703494094481,8.506341769073083,273.4703494094487,0.9722778623806206,0.06797743337012169,315.5828011656054,8.571193761877122,314.58280116560127,0.9677578229940726
Data Latih\Keluak (111).jpg,0.08856782801593964,196.10494586614155,8.436881827959237,195.10494586614217,0.9819471916923845,0.06689376122915988,413.3770227540444,8.726243488457103,412.3770227540465,0.9615190729640312,0.07101787250518493,382.434793307087,8.703007044376085,381.4347933070893,0.9647518300916084,0.06738275650287769,423.8635377270773,8.74226747135652,422.86353772707525,0.9605088209871511
Data Latih\Keluak (112).jpg,0.12125908303313518,237.91535433070837,8.419077329267415,236.91535433070996,0.9817901850862842,0.09361772706999297,412.25426250852166,8.627988143386084,411.2542625085255,0.9682041080572689,0.10187761305661687,420.3578371062965,8.61323262234439,419.35783710629784,0.9678008251986541,0.09883074239416864,498.0544361088718,8.66618480346733,497.0544361088748,0.9615163296198957
Data Latih\Keluak (113).jpg,0.08685859199178736,209.1984498031484,8.465957847272634,208.1984498031501,0.9828710153160002,0.06787719105797396,425.13038626077434,8.737733857354423,424.1303862607734,0.9648965730415836,0.07400224150997804,363.2163508858225,8.666183566034462,362.21635088582616,0.9702792247843437,0.07024572918219422,373.0920081840152,8.698302467967197,372.0920081840146,0.9691649296199881
Data Latih\Keluak (114).jpg,0.11858477330188395,286.39031742125934,8.520020575881412,285.3903174212606,0.9802712091335214,0.09503328573212125,439.6625333250651,8.680842612958331,438.66253332506744,0.96950447423988,0.1058049674687713,443.58704478346175,8.641079919080832,442.5870447834648,0.9694663998725729,0.0961818775265534,529.479012958024,8.718826235299622,528.4790129580288,0.9632029879375515
Data Latih\Keluak (115).jpg,0.093617861858407,221.63521161417265,8.371906731178862,220.63521161417404,0.9796968758085418,0.07728001208392624,380.4514229028467,8.567857269970151,379.4514229028478,0.9647989455168013,0.08246513355859746,338.46167568897823,8.523794324387888,337.46167568897965,0.9689915499101607,0.07826285954520042,380.046500092999,8.562833547401029,379.0465000929986,0.9648158384351101
Data Latih\Keluak (116).jpg,0.07548426736361115,207.932394192913,8.47199099229957,206.93239419291442,0.979849637881725,0.056955484237258706,362.12077624155324,8.72560724717536,361.12077624155046,0.9645447327184383,0.06178068654940369,345.87623031495735,8.689450381224257,344.8762303149608,0.9664696530805198,0.05860633123663614,400.32345464690803,8.73777875875541,399.3234546469103,0.9607666257090488
Data Latih\Keluak (117).jpg,0.08880361315533962,185.03567913385677,8.306103180048769,184.035679133858,0.9829235951032506,0.06651813365737004,344.49172298344706,8.599984967934946,343.49172298344376,0.9678361416943806,0.0735313599547066,274.7937376968492,8.521495641025131,273.7937376968524,0.974660683295706,0.06858338473427356,318.631471262942,8.566839903138447,317.63147126294103,0.9702336842752783
Data Latih\Keluak (118).jpg,0.08732345101505384,219.616941437007,8.461897466897021,218.61694143700885,0.9837997634672269,0.06951314441982863,418.703081406161,8.708512817682756,417.7030814061645,0.9688703797187862,0.07600954850313331,366.58427657480263,8.653164418203051,365.5842765748055,0.9729570642789556,0.07320212296771775,400.0446400892817,8.686448049231359,399.04464008928085,0.9702416786865223
Data Latih\Keluak (119).jpg,0.07797216424580036,308.67408956692856,8.588862892779499,307.67408956693146,0.9758567902784318,0.06319287584274584,519.7404674809366,8.769032960127939,518.7404674809371,0.9590678816439205,0.06704674639783231,511.05155019684776,8.750133215259515,510.05155019685037,0.9600598991822675,0.0637417858624114,550.7859135718305,8.777566597301199,549.7859135718293,0.9565678359312852
Data Latih\Keluak (12).jpg,0.14682010998208164,234.8877952755904,8.015992539627092,233.88779527559106,0.9803325852081354,0.11808399697249626,423.2963605927231,8.224638136755377,422.2963605927202,0.9641947623081458,0.12142583891766527,293.43393208661337,8.167455940726807,292.43393208661547,0.9754696205117195,0.11568122212500512,327.5432450864909,8.207972905192628,326.54324508648943,0.9723007066707576
Data Latih\Keluak (120).jpg,0.08736141398176937,293.7375738188979,8.52860613552549,292.73757381890044,0.9745451085029257,0.07125946522897364,422.5997891995807,8.68963377565344,421.59978919957814,0.9630414606167851,0.0765113393015247,404.7315452755894,8.676918804057182,403.7315452755927,0.9650237681083119,0.06903507191539948,519.9104098208207,8.766220492733684,518.9104098208207,0.9544590942725515
Data Latih\Keluak (121).jpg,0.09310820562674284,237.03518700787373,8.235518889143682,236.03518700787424,0.9727979915399793,0.0768862311494329,334.02046004092074,8.41320586729644,333.0204600409178,0.961353358363094,0.08058866862476793,276.44666584645694,8.387066096858467,275.4466658464576,0.9685053544295371,0.07570882653782969,347.4376588753206,8.451500490520012,346.4376588753183,0.9597656327567649
Data Latih\Keluak (122).jpg,0.09493225578340571,133.2570127952747,8.249243088452802,132.25701279527536,0.9863964206029538,0.07343113402887771,223.3372186744357,8.488765331670805,222.33721867443666,0.9769888591214245,0.07857966253128514,184.76544045275477,8.445405854920605,183.7654404527575,0.9811567831370938,0.06978442427400741,231.17130634261244,8.55102994939205,230.1713063426113,0.9761715414798915
Data Latih\Keluak (123).jpg,0.08235749992091307,178.2900467519677,8.371199360846505,177.2900467519693,0.9823143282181953,0.0652418398276435,282.25407650815225,8.575741852861096,281.25407650815214,0.971811102634721,0.0724783587634207,244.1170029527573,8.51723275717661,243.11700295275782,0.9758580734566582,0.06527820421241262,303.0076880153763,8.6063492654193,302.0076880153767,0.9697095140939523
Data Latih\Keluak (124).jpg,0.07401671602759713,224.85672982283288,8.550152305700275,223.85672982283452,0.9784093924641842,0.06298616199485263,346.74995349990735,8.712795205429224,345.749953499907,0.9663898345612937,0.06577518190501126,292.92698080708374,8.677038010998103,291.92698080708647,0.971894642022044,0.06217228783933621,327.8410936821884,8.714389084582342,326.84109368218856,0.968201795863469
Data Latih\Keluak (125).jpg,0.08837531694795675,346.1722440944877,8.702851267293147,345.17224409448875,0.9703384436080107,0.06636720415813317,594.8814557629115,8.917404408390459,593.8814557629175,0.9487144657517473,0.07188002956285966,553.030696358255,8.865012801901182,552.0306963582578,0.9526827656958604,0.06616246805520468,595.8095356190677,8.909169294341506,594.8095356190748,0.9486115684816663
Data Latih\Keluak (126).jpg,0.14605019249270915,281.9254429133842,8.461640501582849,280.92544291338703,0.9777639767183665,0.11744764713432956,412.1107322214624,8.612747561259752,411.11073222146416,0.967257628526904,0.12357666121540317,378.069943405509,8.594273130737983,377.0699434055123,0.9702397847859623,0.11175948844462284,452.2788765577481,8.683652097426767,451.2788765577533,0.9640288150376427
Data Latih\Keluak (127).jpg,0.10789859177500719,251.69186761810778,8.506991016284767,250.69186761810988,0.9802434416679617,0.08627268435614403,373.05468410937044,8.68276400657728,372.0546841093676,0.9704844556763416,0.08925333921186027,323.318282480315,8.651762850866811,322.31828248031866,0.9746687730891346,0.08091148223882684,382.1979663959311,8.73869039848357,381.19796639593494,0.9697346387705835
Data Latih\Keluak (128).jpg,0.05811788845213078,402.19924950787185,8.832020089253703,401.19924950787595,0.9618358374989112,0.04285246836917281,643.0595201190418,9.042526708686236,642.0595201190453,0.938517271665095,0.044793802966147094,639.6937746062939,9.019647771194016,638.6937746063003,0.9393277739930279,0.041927290748467794,703.3186806373598,9.067786016642012,702.318680637366,0.9327078528461118
Data Latih\Keluak (129).jpg,0.0724082737223304,371.5307578740155,8.798932172171202,370.53075787401707,0.9686250036054737,0.05511573847807317,617.2038564077134,9.011131101737899,616.2038564077152,0.9475129592182228,0.06074012587437324,533.948449803145,8.9452341944455,532.948449803147,0.955055703952131,0.05681553132533838,556.9775559551057,8.96961419425668,555.9775559551081,0.9526117291434685
Data Latih\Keluak (13).jpg,0.19115702531886855,646.915846456686,8.572996036176148,645.9158464566938,0.9613171497855393,0.13924371019317838,1150.1488622977208,8.847156305735565,1149.148862297718,0.9309793010847012,0.1475593850230721,991.3705093503839,8.786331588477276,990.3705093503918,0.9409354329306504,0.14249493803599284,1021.8369396738791,8.810905069655417,1020.8369396738817,0.9386246292065897
Data Latih\Keluak (130).jpg,0.07168925354675945,304.24950787401536,8.670786809264394,303.24950787401735,0.9713938312772233,0.05239054299753918,526.709157418319,8.917856110476315,525.7091574183167,0.9500329359784978,0.05712747015052801,512.090674212593,8.868214876939133,511.09067421259556,0.9519460999728123,0.05229503266949464,560.4702089404136,8.924393925245944,559.470208940421,0.9468171984501806
Data Latih\Keluak (131).jpg,0.08778886063822562,285.3609128937019,8.485466670724996,284.36091289370296,0.9728127128136848,0.0690479128505255,445.5287990575985,8.675388219208427,444.5287990575951,0.9570125639287624,0.070065087946925,407.60623769684827,8.676952337153924,406.60623769685026,0.961173994637082,0.06390746869267976,487.44764089528087,8.744199730777593,486.4476408952851,0.9528976703257622
Data Latih\Keluak (132).jpg,0.06521955915201665,304.49575541338584,8.652092564773952,303.49575541338726,0.975287497101745,0.05168943303283127,507.11054622109054,8.865096612955012,506.11054622109043,0.9582897716895262,0.0552411341637842,444.217950295273,8.797084871216606,443.21795029527664,0.9639860014902398,0.050839313656427354,522.75466550933,8.875867110269901,521.754665509333,0.9570010755258735
Data Latih\Keluak (133).jpg,0.31029657371904984,489.94740403543136,8.738571310143273,488.9474040354332,0.9638538402262787,0.2598652800988748,626.0247380494731,8.86016418471946,625.0247380494777,0.9533514269382336,0.2744532364061356,538.0773252952638,8.808808008741995,537.0773252952674,0.9605077653045999,0.25458870782468085,599.7741335482616,8.856399937213443,598.7741335482641,0.9552681167323871
Data Latih\Keluak (134).jpg,0.07299481517847718,486.5973794291284,8.835199878188487,485.59737942913455,0.9620168903073054,0.058705057083269535,677.1494202988381,8.990144036873879,676.1494202988454,0.9466879932828806,0.06390566473699691,641.3575910432983,8.936038406853218,640.357591043303,0.9500380237951288,0.05854972618798973,667.8177816355608,9.012004951352365,666.8177816355654,0.947415169366605
Data Latih\Keluak (135).jpg,0.06110183363069647,467.9695497047223,8.793548872521123,466.9695497047265,0.9533511648917145,0.050105986998928306,631.3868807737571,8.920618805126127,630.3868807737601,0.936450378462891,0.05375486434538193,580.4384227362074,8.867834857165409,579.4384227362124,0.9423868396472234,0.050372192751818284,644.1298902597745,8.931291270767208,643.1298902597806,0.9351446350785148
Data Latih\Keluak (136).jpg,0.08451344411198451,365.34295029527533,8.636927498225724,364.3429502952783,0.9718747593538541,0.07290691219698979,533.1231322462637,8.754120378504266,532.1231322462671,0.9587023004006928,0.08037023776655262,465.6582185039381,8.696770647845295,464.6582185039418,0.964231422861461,0.07301702017353773,509.8565937131886,8.759365064623458,508.8565937131886,0.9604959552825357
Data Latih\Keluak (137).jpg,0.06522896663938829,372.6644315944856,8.761280897178718,371.6644315944889,0.9676837369071785,0.052471913114907835,590.0111600223239,8.952418661278903,589.0111600223273,0.9483766351592622,0.05531518313968838,522.0593626968455,8.9163650364026,521.0593626968482,0.9547697995082034,0.050608449781009694,570.9978919957821,8.960214562485309,569.9978919957847,0.9500485927152347
Data Latih\Keluak (138).jpg,0.06302033709964797,483.89179379921177,8.897942134904751,482.8917937992159,0.967186350043007,0.05162370229143896,849.8216256432555,9.093301300177444,848.8216256432605,0.9417736912029829,0.05765616652038384,772.6046998031467,9.028527711176173,771.6046998031544,0.9476049986332467,0.0525296944315085,796.2745365490742,9.074002066567529,795.2745365490791,0.9454519004277522
Data Latih\Keluak (139).jpg,0.06076619892612466,321.4146776574796,8.718855690442577,320.4146776574827,0.9721050444539191,0.051302152327552905,455.2351664703332,8.855287148917705,454.23516647033165,0.9600867561061854,0.05194282898288053,433.98609744094443,8.852966737776637,432.9860974409485,0.9623251599638978,0.048423938126617536,538.9409138818238,8.914072791659217,537.9409138818298,0.9527038079099338
Data Latih\Keluak (14).jpg,0.0917608646733988,801.2320374015757,9.17546894523314,800.2320374015811,0.9486902835021351,0.07969893179631418,1770.7606795213815,9.373563953224442,1769.7606795213292,0.8859415238190163,0.08386279284708538,1685.3847810039597,9.344299962650922,1684.3847810039501,0.892318062280625,0.07880904223676775,1689.0181040362327,9.372352062357237,1688.0181040361495,0.8911565889318696
Data Latih\Keluak (140).jpg,0.1118105786011266,434.8200049212555,8.664640759998615,433.82000492125803,0.9672991199839918,0.09011474120628855,557.0936201872395,8.78912089491402,556.0936201872452,0.9578743490910887,0.1030667447072287,491.7794045275561,8.702447621425074,490.7794045275568,0.9631182635846014,0.09259849023728595,532.4424328848664,8.761573862824148,531.4424328848635,0.9597399365763629
Data Latih\Keluak (141).jpg,0.04743123011679792,544.4382997047186,8.948059399681208,543.4382997047228,0.9437373644737903,0.041415229459891366,677.3043586087138,9.026343985211883,676.3043586087219,0.9294944304507712,0.044695149204142116,646.8784448818785,8.991496225562104,645.8784448818841,0.933607856363012,0.039703566293237694,730.0686961373949,9.06500657598286,729.0686961373916,0.9240109150134139
Data Latih\Keluak (142).jpg,0.06436256183017372,457.43430118110064,8.734501067557671,456.434301181104,0.9536033561135241,0.04978985517453579,687.7304854609707,8.92001778943151,686.7304854609727,0.9295036277998908,0.05424229036893794,634.1558193897527,8.857744559778633,633.1558193897555,0.9358061415497834,0.051276328232441645,646.1834583669172,8.885917862960127,645.1834583669205,0.9337830771568464
Data Latih\Keluak (143).jpg,0.07945457419309905,375.8733390748045,8.64661180317773,374.8733390748057,0.9671773108040941,0.06171314903187141,611.597247194498,8.843192357734383,610.5972471944951,0.946135504911021,0.06678252309104771,578.8615895669209,8.785892133255626,577.8615895669209,0.949547647110464,0.062358117151741624,639.6530473060951,8.834748492111814,638.6530473060969,0.9436644778272857
Data Latih\Keluak (144).jpg,0.07113972711981167,332.64831446849973,8.685197789531877,331.648314468503,0.9719993455479093,0.05406452712613717,499.6461032922047,8.886826811439821,498.6461032922068,0.9575006350633342,0.05780292487149286,429.66756889763656,8.830373248176143,428.6675688976381,0.9639014936604232,0.05357973143874791,504.0321160642351,8.891363526873242,503.0321160642334,0.9571078678933411
Data Latih\Keluak (145).jpg,0.06575038980167916,319.44279035432726,8.661319387827305,318.44279035432993,0.9681352790952489,0.06178288331502513,347.82311364622825,8.695501880579268,346.82311364622944,0.964948833136441,0.0850909962329285,158.4199064960639,8.398309081433696,157.4199064960641,0.9842601486574358,0.06297744568916748,368.0192200384433,8.713336759587179,367.01922003843805,0.9629567308592667
Data Latih\Keluak (146).jpg,0.0837947266725733,148.57111220472422,8.348725802990147,147.57111220472518,0.9860192501425065,0.06038106893086507,346.0822121644238,8.674847413322397,345.0822121644259,0.9670191826442155,0.06333187031746411,310.6205708661389,8.634537479220722,309.62057086614027,0.9706899531907908,0.058446452872294746,358.2507905015824,8.700447277681885,357.2507905015797,0.965838063160245
Data Latih\Keluak (147).jpg,0.10118127719123628,395.38348917323106,8.61227169467786,394.38348917323384,0.968031678225368,0.07689695787271306,616.5585591171207,8.809630370711828,615.5585591171226,0.9497160346462786,0.08728411627925337,567.1046382873932,8.747354680724047,566.1046382873963,0.9542557307373346,0.07819655412326165,615.1634943269854,8.819611538090818,614.163494326989,0.9497802256375721
Data Latih\Keluak (148).jpg,0.060220390459967986,411.5170398622016,8.851047437313479,410.51703986220645,0.9651869617953363,0.04900147837273711,596.854609709215,9.00019502501965,595.8546097092238,0.9491045379465755,0.05567753420598743,563.183870570859,8.937393877625505,562.1838705708643,0.9525186352685411,0.048711193707610886,671.1943703887396,9.02603145999809,670.1943703887418,0.9427355218140648
Data Latih\Keluak (149).jpg,0.06365222825725375,391.85556102362204,8.807151244390365,390.8555610236246,0.9680750050899047,0.04954241782690339,554.4878789757615,8.981635107074263,553.4878789757599,0.9544699857904189,0.053200289810755856,470.0500123031455,8.909909099099261,469.05001230314986,0.961780095058439,0.05019838367475507,513.4034348068735,8.957768152964489,512.4034348068698,0.9578361067948533
Data Latih\Keluak (15).jpg,0.07060224954135852,924.6887303149521,9.206250783806972,923.6887303149584,0.933457930120597,0.0592519067121882,1638.353710707449,9.367566391462173,1637.3537107073862,0.881273011375066,0.06538012410694916,1732.2328986220605,9.348570366420327,1731.2328986220568,0.8756917023405723,0.06000112260703092,1917.4919709839764,9.385044188121928,1916.491970983892,0.8610948793495936
Data Latih\Keluak (150).jpg,0.07027954729707715,306.64173228346567,8.673524119019282,305.6417322834677,0.9764334465954913,0.05970980005638599,457.59036518073077,8.82867638564558,456.590365180733,0.9645726551416196,0.06251326736016867,419.4878813976366,8.788116625835846,418.4878813976397,0.9677941098276601,0.059450117597664706,463.3589187178421,8.833191003183058,462.3589187178388,0.9641165612826588
Data Latih\Keluak (151).jpg,0.063358630196729,338.7908464566917,8.78081273715973,337.79084645669366,0.9684721073666975,0.053154625621547706,453.2568045136106,8.9028551611851,452.25680451360995,0.9573965486516584,0.057671865221241514,401.54902805117666,8.853662984376571,400.549028051181,0.9627669555741953,0.05148080678623997,460.3270506541013,8.930774864520037,459.3270506541005,0.9567156689917944
